rank,candidate_id,solvent_set,zotero_keys,titles,dois,status,chemistry_class,feed_relevance,evidence_strength_20,selectivity_strength_20,parameter_fit_potential_20,epcsaft_readiness_20,prommis_idaes_fit_20,total_score_100,best_use,key_data_to_extract,current_limitation,evidence_source
1,hbta_topo_sulfonated_kerosene,HBTA + TOPO + sulfonated kerosene,JUNBXVTI; 9LJWDC7E; AEL6ZEPG,Influence Mechanism of Coexisting Ions on the Extraction Efficiency of Lithium from Oil and Gas Field Water | Selective extraction of lithium from alkaline brine using HBTA-TOPO synergistic extraction system | Recovery of lithium from alkaline brine by solvent extraction with β-diketone,10.3390/W17152258 | 10.1016/j.seppur.2017.07.028 | 10.1016/j.hydromet.2017.10.029,flagship,beta-diketone/phosphine-oxide synergistic solvent extraction,actual oil-and-gas field water plus alkaline-brine mechanism support,20,19,18,11,20,88,Main Friday case study and current source-regressed Li/Na stage model.,"Zhang 2017 direct D_Li/D_Na table, pH/temperature/OA curves, Gando Table 2/4/5, Zhang 2018 mixer-settler data.",Organic ePC-SAFT parameters and true reaction constants remain absent.,fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
2,d2ehdtpa_buphen_octanol_dodecane,D2EHDTPA + BuPhen + octanol modifiers + n-dodecane,DQ2M7ZG8,Selective extraction of lithium over alkali and alkaline earth ions by synergistic solvent extraction,10.1039/d4gc04760e,best_non_hbta_multication_backup,cation exchanger plus lithium-selective neutral ligand,synthetic geothermal brine with Na/K/Mg/Ca competition,17,20,14,6,16,73,Best backup for multication selectivity and divalent competition story.,"Li/Na, Li/K, Li/Mg, Li/Ca separation factors, BuPhen/D2EHDTPA concentration sweeps, van't Hoff fit.",Pure-component and organic-mixture parameters are not available in the repo.,fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
3,rezaee_des_topo,TBAC + decanoic-acid DES + TOPO,3NMV5MF2,Thermodynamic modeling of lithium extraction from synthetic brine using deep eutectic solvents: A PC-SAFT approach,10.1016/j.fluid.2026.114737,parameter_regression_pilot,DES/TOPO with PC-SAFT organic phase and ePC-SAFT aqueous phase,synthetic brine,15,13,20,15,13,76,Best source for demonstrating parameter-regression and package plumbing.,"DES density correlation, PC-SAFT parameters, binary interactions, extraction-isotherm tables.",Not the flagship HBTA/TOPO chemistry and direct LLE smoke remains diagnostic.,fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
4,tbp_fecl3_hcl,TBP + FeCl3/HCl + kerosene,V7EN7V3S; UBWCFMKD,Solvent extraction of lithium from brines with high magnesium/lithium ratios: investigation on parameter interactions | Selective separation of lithium from the high magnesium brine by the extraction system containing phosphate-based ionic liquids,10.1007/s11356-024-34617-8 | 10.1016/j.seppur.2021.119051,conventional_high_mg_backup,organophosphorus/chloroferrate extraction chemistry,high Mg/Li brines,14,17,12,7,12,62,Useful conventional comparator if HBTA/TOPO parameterization stalls.,"Fe/Li, HCl, TBP interactions; Li/Mg separation; third-phase/solvent-loss limits.","Acid/Fe handling, corrosion, and chloride speciation complicate IDAES story.",fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
5,d2ehpa_tbp_produced_water,D2EHPA + TBP + kerosene,BLUVRJ9Q; W3ELF9TE,Lithium recovery from shale gas produced water using solvent extraction | Lithium recovery by solvent extraction from simulated shale gas produced water – Impact of organic compounds,10.1016/J.APGEOCHEM.2017.01.016 | 10.1016/j.apgeochem.2020.104571,produced_water_limitation_baseline,acidic organophosphorus extraction,synthetic shale-gas produced water and organic-contaminant follow-up,18,8,11,7,15,59,Limitation baseline showing why generic solvent extraction is not enough.,"Stage-1 divalent removal, Li loss, organic-contaminant impact, TBP/D2EHPA concentration curves.",Low Li recovery/selectivity relative to flagship; current model is placeholder-heavy.,fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
6,hbta_topo_des_hanada,HBTA/TOPO or HTTA/TOPO synergistic DES,GK598336,Synergistic Deep Eutectic Solvents for Lithium Extraction,10.1021/acssuschemeng.0c07606,new_candidate_physical_property_fit,solvent-free beta-diketone/phosphine-oxide DES,model brine,13,15,18,10,11,67,New candidate for pseudo-component physical-property fitting and capacity comparison.,"DES density/viscosity, Li capacity, Li/Na/K selectivity, HBTA/TOPO physical properties.",DES cost/viscosity and chemistry differ from sulfonated-kerosene flagship.,fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
7,functional_ionic_liquid_produced_water,functional ionic liquids for Canadian oil-and-gas produced water,6TD5NWA8,Direct lithium extraction from Canadian oil and gas produced water using functional ionic liquids – A preliminary study,10.1016/j.apgeochem.2024.106126,new_candidate_produced_water_alternate,functional ionic-liquid extraction,real Canadian oil-and-gas produced water,18,13,9,8,11,59,New alternate because it uses real produced-water samples; keep outside flagship cost story.,"Real-water composition, Li recovery/selectivity, extractant loss, viscosity/cost constraints.",Ionic-liquid cost/uncertainty conflicts with current non-ionic pitch.,fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
8,heteropolyacid_ionic_liquid,heteropolyacid ionic liquid + hydrophobic ionic-liquid diluent,5DXFW24T,Recovery of Lithium Ions from Salt Lake Brine with a High Magnesium/Lithium Ratio Using Heteropolyacid Ionic Liquid,10.1021/acssuschemeng.8b04694,new_candidate_high_mg_selectivity,heteropolyacid ionic-liquid extraction,high Mg/Li salt-lake brine,11,16,11,8,10,56,New high-Mg selectivity candidate and mechanistic contrast to TBP/FeCl3.,"Li/Mg selectivity, organic composition, stripping, cyclic stability, extraction constants if tabulated.",Not produced-water specific and not aligned with non-ionic flagship.,fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
9,ammonium_ionic_liquid,ammonium ionic liquid extraction system,EQG5BQQV,Solvent extraction of lithium from aqueous solution using an ammonium ionic liquid,10.1016/j.molliq.2020.112756,new_candidate_ionic_liquid_reference,ammonium ionic-liquid extraction,aqueous solution/model brine,10,12,10,8,8,48,Mechanism and cost-bound reference for why ionic-liquid systems are not the active pitch.,"Distribution ratios, stripping, cation/anion structure, solvent loss and reuse.","Lower fit priority than HBTA/TOPO, Raiguel, or Rezaee for Friday.",fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
10,dbm_topo_review_only,DBM + TOPO synergistic extraction,5HLW3Y8W,Advances in lithium recovery from complex and dilute brines: a comprehensive review,10.1080/00084433.2025.2540724,review_only_primary_needed,beta-diketone/phosphine-oxide synergistic solvent extraction,review reports actual UOG brine; primary record not yet pinned in Zotero,10,17,12,8,11,58,High-upside historical target if the primary paper/data table can be pinned.,"Primary-paper D values, Li/Na ratio, O/A, extractant concentration, stripping, and brine composition.",Current support is review-derived; do not promote into the deck until the primary source is identified.,fresh_zotero_mcp_verified; current_thread_fallback_zotero_local_api_plus_local_retrieval_index
